q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
40356,TableScan_Join,33686779,8000000,320000000,11,4,true,ore,true,true,false,true,30000000,false,false,900,true,false,false,false,6,12,100,50,5,.7,.75,.3,.8,.6,1800,.40,40,40,3,4,1024,1152,1664,4,false,true,BLOCK,860
19131,TableScan_Group,114051,8000000,320000000,11,4,true,ore,true,true,false,true,30000000,false,false,900,true,false,false,false,6,12,100,50,5,.7,.75,.3,.8,.6,1800,.40,40,40,3,4,1024,1152,1664,4,false,true,BLOCK,860
13694,TableScan_Select,114051,8000000,320000000,1,4,true,ore,true,true,false,true,30000000,false,false,900,true,false,false,false,6,12,100,50,5,.7,.75,.3,.8,.6,1800,.40,40,40,3,4,1024,1152,1664,4,false,true,BLOCK,860
233.37,4
72090,TableScan_Join,7650000,8000000,192000000,24,4,false,ore,false,false,false,true,50000000,true,false,500,true,false,true,false,12,4,150,20,20,1.0,.80,.4,.9,.3,1800,.70,40,60,3,2,1408,1664,2048,4,true,false,BLOCK,746
74068,TableScan_Join,33686779,8000000,192000000,24,4,false,ore,false,false,false,true,50000000,true,false,500,true,false,true,false,12,4,150,20,20,1.0,.80,.4,.9,.3,1800,.70,40,60,3,2,1408,1664,2048,4,true,false,BLOCK,746
29718,TableScan_Group,301828,8000000,192000000,24,4,false,ore,false,false,false,true,50000000,true,false,500,true,false,true,false,12,4,150,20,20,1.0,.80,.4,.9,.3,1800,.70,40,60,3,2,1408,1664,2048,4,true,false,BLOCK,746
19013,TableScan_Select,114051,8000000,192000000,1,4,false,ore,false,false,false,true,50000000,true,false,500,true,false,true,false,12,4,150,20,20,1.0,.80,.4,.9,.3,1800,.70,40,60,3,2,1408,1664,2048,4,true,false,BLOCK,746
225.081,4
73741,TableScan_Join,3830000,4000000,512000000,32,2,true,inial,false,false,false,false,80000000,true,true,600,false,false,true,true,6,8,130,60,10,.5,.65,.3,.8,.1,500,.60,30,60,2,2,1792,1024,1920,4,true,false,RECORD,898
62233,TableScan_Join,16846358,4000000,512000000,32,2,true,inial,false,false,false,false,80000000,true,true,600,false,false,true,true,6,8,130,60,10,.5,.65,.3,.8,.1,500,.60,30,60,2,2,1792,1024,1920,4,true,false,RECORD,898
32064,TableScan_Group,57114,4000000,512000000,32,2,true,inial,false,false,false,false,80000000,true,true,600,false,false,true,true,6,8,130,60,10,.5,.65,.3,.8,.1,500,.60,30,60,2,2,1792,1024,1920,4,true,false,RECORD,898
